Date,Price,Signal
2010-01-04,30.5728,----
2010-01-05,30.6257,----
2010-01-06,30.1385,----
2010-01-07,30.0828,----
2010-01-08,30.2828,----
2010-01-11,30.0157,----
2010-01-12,29.6743,----
2010-01-13,30.0928,----
2010-01-14,29.9185,----
2010-01-15,29.4185,----
2010-01-19,30.72,----
2010-01-20,30.2464,----
2010-01-21,29.7245,----
2010-01-22,28.25,----
2010-01-25,29.0107,----
2010-01-26,29.42,----
2010-01-27,29.6977,----
2010-01-28,28.47,----
2010-01-29,27.4375,----
2010-02-01,27.8185,----
2010-02-02,27.98,----
2010-02-03,28.4614,----
2010-02-04,27.4357,----
2010-02-05,27.9228,----
2010-02-08,27.7314,----
2010-02-09,28.0271,----
2010-02-10,27.8737,----
2010-02-11,28.3814,----
2010-02-12,28.6257,----
2010-02-16,29.0571,----
2010-02-17,28.9357,BUY 
2010-02-18,28.9897,----
2010-02-19,28.81,----
2010-02-22,28.6308,----
2010-02-23,28.1513,----
2010-02-24,28.6651,----
2010-02-25,28.8571,----
2010-02-26,29.2314,----
2010-03-01,29.8557,----
2010-03-02,29.8357,----
2010-03-03,29.9043,----
2010-03-04,30.1014,----
2010-03-05
